Simulador iniciado. Tamanho: 100000 bytes

Nome: P1         | Início: 0      | Fim: 9999   | Tamanho: 10000
Nome: P2         | Início: 10000  | Fim: 24999  | Tamanho: 15000
Nome: P3         | Início: 25000  | Fim: 32999  | Tamanho: 8000
Nome: P4         | Início: 33000  | Fim: 44999  | Tamanho: 12000
Nome: Unused     | Início: 45000  | Fim: 99999  | Tamanho: 55000


Nome: P1         | Início: 0      | Fim: 9999   | Tamanho: 10000
Nome: Unused     | Início: 10000  | Fim: 24999  | Tamanho: 15000
Nome: P3         | Início: 25000  | Fim: 32999  | Tamanho: 8000
Nome: P4         | Início: 33000  | Fim: 44999  | Tamanho: 12000
Nome: Unused     | Início: 45000  | Fim: 99999  | Tamanho: 55000


Nome: P1         | Início: 0      | Fim: 9999   | Tamanho: 10000
Nome: P5         | Início: 10000  | Fim: 23999  | Tamanho: 14000
Nome: Unused     | Início: 24000  | Fim: 24999  | Tamanho: 1000
Nome: P3         | Início: 25000  | Fim: 32999  | Tamanho: 8000
Nome: P4         | Início: 33000  | Fim: 44999  | Tamanho: 12000
Nome: P6         | Início: 45000  | Fim: 47999  | Tamanho: 3000
Nome: Unused     | Início: 48000  | Fim: 99999  | Tamanho: 52000


Nome: Unused     | Início: 0      | Fim: 9999   | Tamanho: 10000
Nome: P5         | Início: 10000  | Fim: 23999  | Tamanho: 14000
Nome: Unused     | Início: 24000  | Fim: 24999  | Tamanho: 1000
Nome: P3         | Início: 25000  | Fim: 32999  | Tamanho: 8000
Nome: Unused     | Início: 33000  | Fim: 44999  | Tamanho: 12000
Nome: P6         | Início: 45000  | Fim: 47999  | Tamanho: 3000
Nome: Unused     | Início: 48000  | Fim: 99999  | Tamanho: 52000


Nome: P8         | Início: 0      | Fim: 4999   | Tamanho: 5000
Nome: Unused     | Início: 5000   | Fim: 9999   | Tamanho: 5000
Nome: P5         | Início: 10000  | Fim: 23999  | Tamanho: 14000
Nome: Unused     | Início: 24000  | Fim: 24999  | Tamanho: 1000
Nome: P3         | Início: 25000  | Fim: 32999  | Tamanho: 8000
Nome: Unused     | Início: 33000  | Fim: 44999  | Tamanho: 12000
Nome: P6         | Início: 45000  | Fim: 47999  | Tamanho: 3000
Nome: P7         | Início: 48000  | Fim: 67999  | Tamanho: 20000
Nome: Unused     | Início: 68000  | Fim: 99999  | Tamanho: 32000


Nome: P8         | Início: 0      | Fim: 4999   | Tamanho: 5000
Nome: P5         | Início: 5000   | Fim: 18999  | Tamanho: 14000
Nome: P3         | Início: 19000  | Fim: 26999  | Tamanho: 8000
Nome: P6         | Início: 27000  | Fim: 29999  | Tamanho: 3000
Nome: P7         | Início: 30000  | Fim: 49999  | Tamanho: 20000
Nome: Unused     | Início: 50000  | Fim: 99999  | Tamanho: 50000


Nome: P8         | Início: 0      | Fim: 4999   | Tamanho: 5000
Nome: P5         | Início: 5000   | Fim: 18999  | Tamanho: 14000
Nome: P3         | Início: 19000  | Fim: 26999  | Tamanho: 8000
Nome: P6         | Início: 27000  | Fim: 29999  | Tamanho: 3000
Nome: P7         | Início: 30000  | Fim: 49999  | Tamanho: 20000
Nome: P9         | Início: 50000  | Fim: 74999  | Tamanho: 25000
Nome: P10        | Início: 75000  | Fim: 84999  | Tamanho: 10000
Nome: P11        | Início: 85000  | Fim: 89999  | Tamanho: 5000
Nome: Unused     | Início: 90000  | Fim: 99999  | Tamanho: 10000


Nome: Unused     | Início: 0      | Fim: 4999   | Tamanho: 5000
Nome: P5         | Início: 5000   | Fim: 18999  | Tamanho: 14000
Nome: P3         | Início: 19000  | Fim: 26999  | Tamanho: 8000
Nome: P6         | Início: 27000  | Fim: 29999  | Tamanho: 3000
Nome: Unused     | Início: 30000  | Fim: 49999  | Tamanho: 20000
Nome: Unused     | Início: 50000  | Fim: 74999  | Tamanho: 25000
Nome: P10        | Início: 75000  | Fim: 84999  | Tamanho: 10000
Nome: P11        | Início: 85000  | Fim: 89999  | Tamanho: 5000
Nome: Unused     | Início: 90000  | Fim: 99999  | Tamanho: 10000


Nome: P5         | Início: 0      | Fim: 13999  | Tamanho: 14000
Nome: P3         | Início: 14000  | Fim: 21999  | Tamanho: 8000
Nome: P6         | Início: 22000  | Fim: 24999  | Tamanho: 3000
Nome: P10        | Início: 25000  | Fim: 34999  | Tamanho: 10000
Nome: P11        | Início: 35000  | Fim: 39999  | Tamanho: 5000
Nome: Unused     | Início: 40000  | Fim: 99999  | Tamanho: 60000


Nome: P5         | Início: 0      | Fim: 13999  | Tamanho: 14000
Nome: P3         | Início: 14000  | Fim: 21999  | Tamanho: 8000
Nome: P6         | Início: 22000  | Fim: 24999  | Tamanho: 3000
Nome: P10        | Início: 25000  | Fim: 34999  | Tamanho: 10000
Nome: P11        | Início: 35000  | Fim: 39999  | Tamanho: 5000
Nome: P12        | Início: 40000  | Fim: 74999  | Tamanho: 35000
Nome: P13        | Início: 75000  | Fim: 84999  | Tamanho: 10000
Nome: P14        | Início: 85000  | Fim: 91999  | Tamanho: 7000
Nome: Unused     | Início: 92000  | Fim: 99999  | Tamanho: 8000

